#
# APPENDIX AA: LABOR ECONOMICS
# APPENDIX AB: MATCHING AND REPUGNANT MARKETS
# APPENDIX AC: INDUSTRIAL ORGANIZATION
# APPENDIX AD: EVOLUTIONARY AND BEHAVIORAL GAME THEORY
# APPENDIX AE: MECHANISM DESIGN
# APPENDIX AF: SOCIAL CHOICE THEORY
# APPENDIX AG: COMPLEXITY ECONOMICS
# APPENDIX AH: TEMPORAL CONTEXT (Ψ_T)
# APPENDIX U: KAHNEMAN & TVERSKY - PSYCHOLOGICAL MICROFOUNDATIONS
# APPENDIX W: AKERLOF, SPENCE & STIGLITZ - INFORMATION ECONOMICS
# APPENDIX X: MILGROM & ROBERTS - COMPLEMENTARITIES & ORGANIZATION
# APPENDIX Y: CAPITAL MARKETS - FINANCIAL ECONOMICS
# APPENDIX Z: GROWTH THEORY - LONG-RUN DYNAMICS
# Additional: Dynamics (how C→C*), Aggregation (micro→macro), Design (Ψ* optimization)
# EXISTING APPENDICES A-T, V - CORE FRAMEWORK REFERENCES
# Elements: C (Configuration), Ψ (Context), C* (Equilibrium), K (Knowledge), Q (Outcome), C_ij (Complementarity)
# Framework Mapping: Paper Contributions to (C, Ψ, C*, K, Q) Framework
# Generated: 2026-01-04
# MAIN CHAPTERS 00-15 - FRAMEWORK CORE REFERENCES
# Relevance: Core, Supporting, Application, Method
# Total Papers: ~380
# Ψ-Dimensions: Ψ_C (Cognitive), Ψ_I (Institutional), Ψ_S (Social), Ψ_T (Temporal), Ψ_P (Physical), Ψ_K (Informational), Ψ_E (Economic), Ψ_Cult (Cultural)
#--- APPENDIX A: FORMAL DERIVATIONS ---
#--- APPENDIX B: EMPIRICAL VALIDATION ---
#--- APPENDIX C: ALTERNATIVE EQUILIBRIUM CONCEPTS ---
#--- APPENDIX D: MEASUREMENT AND ESTIMATION ---
#--- APPENDIX E: NETWORK EFFECTS ---
#--- APPENDIX F: BOUNDED RATIONALITY EXTENSIONS ---
#--- APPENDIX G: FEPSDE DIMENSIONS ---
#--- APPENDIX H: COMPUTATIONAL HISTORY ---
#--- APPENDIX I: NOBEL CONTRIBUTIONS ---
#--- APPENDIX K: FEHR PAPERS ---
#--- APPENDIX L: ACEMOGLU PAPERS ---
#--- APPENDIX M: SHLEIFER PAPERS ---
#--- APPENDIX N: HECKMAN PAPERS ---
#--- APPENDIX O: AUTOR PAPERS ---
#--- APPENDIX P: DUFLO PAPERS ---
#--- APPENDIX Q: BLOOM PAPERS ---
#--- APPENDIX V: PSI DIMENSIONS ---
#--- CHAPTER 00: INTRODUCTION ---
#--- CHAPTER 01: MOTIVATING OBSERVATIONS ---
#--- CHAPTER 02: STANDARD FRAMEWORK ---
#--- CHAPTER 03: PREFERENCE STABILITY ---
#--- CHAPTER 04: SOCIAL PREFERENCES ---
#--- CHAPTER 05: COMPLEMENTARITIES ---
#--- CHAPTER 06: EVOLUTIONARY FOUNDATIONS ---
#--- CHAPTER 09: ENDOGENOUS CONTEXT ---
#--- CHAPTER 10: WELFARE ---
#--- CHAPTER 12: INTEGRATION ---
#==============================================================================
AI and Labor,2019,Acemoglu & Restrepo,L,Dynamics,-,Automation displacement,Tasks and AI,Core
Active vs Passive Savings,2014,Chetty et al,AH,Ψ,Ψ_T,85% passive 15% active,Heterogeneous policy,Core
Adaptation Natural Artificial,1992,Holland,AG,Dynamics,-,Genetic algorithms,Adaptive systems,Core
Adaptive Behavior,1997,Selten,F,Ψ,Ψ_C,Aspiration adaptation,Learning rules,Core
Addiction Rational,2001,Gruber & Köszegi,AH,Q,Ψ_T,Present bias and addiction,Tax can improve welfare,Core
Advances in Prospect Theory,1992,Tversky & Kahneman,U,Ψ,Ψ_C,Cumulative prospect theory with probability weighting,w(p) overweight small p,Core
Agency Costs of Free Cash Flow,1986,Jensen,Y,K,Ψ_I,Free cash flow agency,Debt as discipline,Core
Agent-Based Computational,2006,Tesfatsion,AG,Method,-,ACE methodology,Computational economics,Core
Agent-Based Finance,2006,LeBaron,AG,Dynamics,-,Artificial stock markets,Emergent dynamics,Core
Aggregating Judgments,2002,List & Pettit,AF,Aggregation,Ψ_K,Judgment aggregation,Belief aggregation impossible,Core
AlphaGo,2016,Silver et al,H,Method,-,Game playing AI,Monte Carlo tree search,Method
Animal Spirits,2009,Akerlof & Shiller,W,Ψ,Ψ_C,Confidence fairness stories in macro,Psychological factors in macro,Supporting
Anomalies Intertemporal,1992,Loewenstein & Prelec,AH,Ψ,Ψ_T,Magnitude sign delay effects,Generalized hyperbolic,Core
Anomalies Series,1987-91,Thaler,U,Ψ,Ψ_C,Documented systematic deviations from rationality,Endowment effect status quo bias,Supporting
Antitrust Economics,2008,Motta,AC,C*,Ψ_I,Competition policy economics,Merger analysis,Application
Architecture of Complexity,1962,Simon,AG,Ψ,Ψ_C,Hierarchical systems,Near decomposability,Core
Are Ideas Getting Harder,2020,Bloom et al,Q,Dynamics,-,Research productivity,Ideas harder to find,Core
Arrow Impossibility Theorem,2014,Maskin & Sen,AF,Aggregation,-,Modern exposition,Arrow explained,Supporting
Asset Fire Sales,2011,Shleifer & Vishny,Y,C*,Ψ_E,Fire sales and crises,Liquidity spirals,Application
Asset Pricing,2005,Cochrane,Y,C*,-,Unified asset pricing theory,Stochastic discount factor,Core
Attention Transformers,2017,Vaswani et al,H,Method,-,Transformer architecture,Self-attention mechanism,Method
Auctions Competitive Bidding,1982,Milgrom & Weber,AE,Design,Ψ_K,Affiliated values auctions,English vs sealed-bid,Core
Auctions Market Power,2020,Milgrom & Wilson,I,Design,-,Nobel lecture auctions,Auction theory practice,Core
Auctions Theory Practice,2004,Klemperer,AE,Design,-,Auction design applications,Practical mechanism design,Application
Automation and Labor,2018,Acemoglu & Restrepo,AA,Dynamics,-,Automation task displacement,Tasks approach,Core
BERT Understanding,2019,Devlin et al,H,Method,-,Bidirectional transformers,Pre-training fine-tuning,Method
BLP Demand,1995,Berry et al,D,Method,-,Random coefficients demand,Differentiated products,Method
Bargaining Influence Costs,1988,Milgrom & Roberts,X,C,Ψ_I,Influence activities within organizations,Rent-seeking costs,Supporting
