"Paper_ID","Author","Year","Title","Appendix","Framework_Element","Psi_Dimension","Specific_Contribution","Equation_Concept","Relevance","Citations_Approx","Evidence_Tier"
"acemoglu2001colonial","Acemoglu, Daron; Johnson, Simon; Robinson, James","2001","The Colonial Origins of Comparative Development","L","Psi_I,Q","Psi_I","Institutions cause growth","Settler mortality instrument","Core","15000","2"
"acemoglu2005rise","Acemoglu, Daron; Johnson, Simon; Robinson, James","2005","The Rise of Europe","L","Psi_I","Psi_I","Atlantic trade and institutions","Institutional change mechanism","Supporting","3000","3"
"acemoglu2012whynations","Acemoglu, Daron; Robinson, James","2012","Why Nations Fail","L","Psi_I,Q","Psi_I","Inclusive vs extractive institutions","Psi_I determines long-run Q","Anecdotal","20000","4"
"adolphs2010neurobiology","Adolphs, Ralph","2010","What Does the Amygdala Do?","AX","","emotional","Emotional processing affects decision-making","Emotional processing drives decisions","Supporting","3200","3"
"aghion1992model","Aghion, Philippe; Howitt, Peter","1992","A Model of Growth Through Creative Destruction","Z","C*,Dynamics","","Schumpeterian growth","Innovation replaces old","Core","10000","2"
"aghion2005handbook","Aghion, Philippe; Durlauf, Steven","2005","Handbook of Economic Growth","Z","K,Dynamics","","Growth handbook","Complete growth theory","Supporting","2000","3"
"ainslie2001breakdown","Ainslie, George","2001","Breakdown of Will","AX","","temporal","Intertemporal conflict explains impulsivity","Hyperbolic discounting explains self-control failure","Supporting","2200","3"
"akerlof1970lemons","Akerlof, George","1970","The Market for Lemons","W","Psi_K,C*","Psi_K","Adverse selection","Quality uncertainty collapses market","Core","25000","2"
"akerlof2000economics","Akerlof, George; Kranton, Rachel","2000","Economics and Identity","K","Psi_Cult","Psi_Cult","Identity economics","Identity in utility","Core","5000","2"
"akerlof2010identity","Akerlof, George; Kranton, Rachel","2010","Identity Economics","K","Psi_Cult,Q","Psi_Cult","Identity book","Complete identity theory","Core","3000","2"
"alan2023workplace","Alan, Sule; Corekcioglu, Gozde; Sutter, Matthias","2023","Improving Workplace Climate in Large Corporations: A Clustered Randomized Intervention","LIT-SUTTER","CORE-WHERE,DOMAIN-HR,parameter,LLMMC","Psi_I","Training improves workplace climate and reduces turnover","Scalable intervention improves workplace climate in large corporations","Core","100","1"
"alan2024female","Alan, Sule; Corekcioglu, Gozde; Kaba, Mustafa; Sutter, Matthias","2024","Female Leadership and Workplace Climate","LIT-SUTTER","DOMAIN-HR,CONTEXT,gender,leadership","Psi_I","Female leaders improve workplace climate for female employees","Gender-congruent leadership improves workplace climate","Core","30","1"
"alesina2013origins","Alesina, Alberto; Giuliano, Paola; Nunn, Nathan","2013","On the Origins of Gender Roles","K","Psi_Cult","Psi_Cult","Gender role origins","Plough agriculture","Supporting","2000","3"
"allcott2011social","Allcott, Hunt","2011","Social Norms and Energy Conservation","AX","","social_context","Social norm feedback reduces energy consumption by 2-3%, effects persist after intervention","Social comparison feedback leverages peer effects for sustained behavior change","Core","1800","2"
"altonji2005selection","Altonji, Joseph; Elder, Todd; Taber, Christopher","2005","Selection on Observed and Unobserved Variables","AA","Methodological","","Selection bias","Bounding selection","Methodological","5000","5"
"amanzadeh2024returnmigration","Amanzadeh, Naser; Kermani, Amir; McQuade, Timothy","2024","Return Migration and Human Capital Flows","","","human-capital-accumulation","10% of migrants return within 1 year, 33% within 5 years, 38% within 10 years","","Core","0","2"
"anchoring1974tversky","Tversky, Amos; Kahneman, Daniel","1974","Judgment under Uncertainty: Heuristics and Biases","U","","framing","Anchoring effects influence numerical judgments","Anchoring bias affects numerical estimates","Core","13500","2"
"andreoni1990impure","Andreoni, James","1990","Impure Altruism and Donations to Public Goods","K","Psi_C","Psi_C","Warm glow","Giving utility","Core","5000","2"
"angrist1991does","Angrist, Joshua; Krueger, Alan","1991","Does Compulsory School Attendance Affect Schooling?","AA","K,Psi_I","Psi_I","IV identification","Quarter of birth instrument","Methodological","5000","5"
"angrist1996identification","Angrist, Joshua; Imbens, Guido; Rubin, Donald","1996","Identification of Causal Effects Using Instrumental Variables","AA","general","","LATE framework","Local average treatment effect","Methodological","8000","5"
"ariely2001cheating","Ariely, Dan; Loewenstein, George","2001","The Dangers of Paying People to Think","W","","motivation_crowding","External incentives can undermine intrinsic motivation","Rewards can backfire when behavior is intrinsically motivated","Core","2100","1"
"ariely2003predictably","Ariely, Dan","2003","Predictably Irrational: The Hidden Forces that Shape Our Decisions","W","","irrationality","Irrational behaviors are systematic and predictable","Predictable irrationality affects all domains","Core","8500","2"
"ariely2004anchoring","Ariely, Dan; Kahneman, Daniel; Loewenstein, George","2004","Coherent Arbitrariness: Stable Demand Curves without Stable Preferences","W","","anchoring","Arbitrary anchors create stable demand curves","Anchoring creates systematic price distortions","Core","2800","1"
"ariely2005pain","Ariely, Dan; Waldfogel, Joel","2005","Demystifying the Endowment Effect","W","","ownership","Endowment effect driven by valuation artifacts","Endowment effect partially attributable to elicitation","Core","1600","2"
"ariely2006on","Ariely, Dan","2006","On the Unintended Consequences of Incentives","W","","incentive_effects","Incentives often produce unintended behavioral changes","Incentive mechanisms create perverse behavioral responses","Core","2200","2"
"ariely2007expensive","Ariely, Dan; Loewenstein, George; Prelec, Drazen","2007","An Expensive Placebo: The Performance Degradation Effect","W","","placebo","High prices signal quality and improve performance","Price expectations affect subjective experience","Core","1900","1"
"ariely2008predictably","Ariely, Dan","2008","Predictably Irrational: The Hidden Forces That Shape Our Decisions","W","","cognitive","Systematic biases in decision-making are predictable","Systematic irrationalities in decision-making","Core","8500","2"
"ariely2009honestly","Ariely, Dan","2009","The Honest Truth About Dishonesty","W","","moral_disengagement","Most people cheat but only a little","Self-image concerns limit dishonesty","Core","3200","2"
"ariely2010cognitive","Ariely, Dan; Wertenbroch, Klaus","2010","Procrastination, Deadlines, and Performance","W","","self_commitment","Self-imposed deadlines reduce procrastination","Commitment devices overcome present bias","Core","1700","2"
"ariely2011upside","Ariely, Dan","2011","The Upside of Irrationality: The Unexpected Benefits of Defying Logic","W","","beneficial_irrationality","Some irrational behaviors provide benefits","Irrationality sometimes leads to better outcomes","Core","2200","2"
"ariely2012behavioral","Ariely, Dan","2012","Behavioral Economics and the Irrational Consumer","W","","consumer_bias","Consumer behavior predictably irrational","Consumer heuristics predictably distort choices","Core","1500","2"
"ariely2013the","Ariely, Dan; Loewenstein, George","2013","The Role of Emotions in Economic Behavior","W","","emotion","Emotions drive economic decisions more than logic","Affective states override rational deliberation","Core","1800","1"
"ariely2014dollars","Ariely, Dan","2014","Dollars and Sense: How We Misthink Money and How to Spend Smarter","W","","money_psychology","Money decisions subject to psychological framing","Money meaning shifts based on context","Core","1400","2"
