# ALPLA Optimal Matched Pairs for Field Experiment
# Sorted by combined distance (PCI + IFI)
#
rank,plant_1,plant_1_name,plant_2,plant_2_name,combined_distance,same_cluster,cluster
1,US-011,Florence KY (1) - L'OREAL,US-012,Florence KY (2) - L'OREAL,0.06,True,E_constrained
2,US-006,St Peters MO (1),US-007,St Peters MO (2),0.092,True,A_rotation_ready
3,US-005,Jefferson City MO,US-009,Bowling Green KY (1),0.108,True,A_rotation_ready
4,US-013,Lima OH,US-014,Dayton OH,0.118,True,A_rotation_ready
5,US-008,Kansas City MO,US-017,West Bend WI,0.128,True,B_career_hungry
6,US-002,Bethlehem PA,US-014,Dayton OH,0.129,True,A_rotation_ready
7,US-009,Bowling Green KY (1),US-013,Lima OH,0.134,True,A_rotation_ready
8,US-005,Jefferson City MO,US-007,St Peters MO (2),0.144,True,A_rotation_ready
9,US-009,Bowling Green KY (1),US-014,Dayton OH,0.15,True,A_rotation_ready
10,US-008,Kansas City MO,US-015,Salt Lake City UT,0.152,True,B_career_hungry
11,US-007,St Peters MO (2),US-009,Bowling Green KY (1),0.154,True,A_rotation_ready
12,US-015,Salt Lake City UT,US-017,West Bend WI,0.16,True,B_career_hungry
13,US-002,Bethlehem PA,US-013,Lima OH,0.171,True,A_rotation_ready
14,US-002,Bethlehem PA,US-009,Bowling Green KY (1),0.182,True,A_rotation_ready
15,US-005,Jefferson City MO,US-013,Lima OH,0.184,True,A_rotation_ready
16,US-006,St Peters MO (1),US-009,Bowling Green KY (1),0.186,True,A_rotation_ready
17,US-010,Bowling Green KY (2) - HENKEL,US-012,Florence KY (2) - L'OREAL,0.187,True,E_constrained
18,US-002,Bethlehem PA,US-007,St Peters MO (2),0.196,True,A_rotation_ready
19,US-002,Bethlehem PA,US-005,Jefferson City MO,0.199,True,A_rotation_ready
20,US-005,Jefferson City MO,US-006,St Peters MO (1),0.202,True,A_rotation_ready
21,US-007,St Peters MO (2),US-014,Dayton OH,0.204,True,A_rotation_ready
22,US-005,Jefferson City MO,US-014,Dayton OH,0.211,True,A_rotation_ready
23,US-010,Bowling Green KY (2) - HENKEL,US-011,Florence KY (1) - L'OREAL,0.216,True,E_constrained
24,US-007,St Peters MO (2),US-013,Lima OH,0.224,True,A_rotation_ready
25,US-006,St Peters MO (1),US-014,Dayton OH,0.234,True,A_rotation_ready
26,US-002,Bethlehem PA,US-006,St Peters MO (1),0.238,True,A_rotation_ready
27,US-004,Iowa City IA (2),US-017,West Bend WI,0.244,True,B_career_hungry
28,US-006,St Peters MO (1),US-013,Lima OH,0.264,True,A_rotation_ready
29,US-004,Iowa City IA (2),US-008,Kansas City MO,0.316,True,B_career_hungry
30,US-003,Iowa City IA (1),US-016,Houston TX,0.329,True,C_tech_focused
31,US-004,Iowa City IA (2),US-015,Salt Lake City UT,0.358,True,B_career_hungry
32,US-003,Iowa City IA (1),US-004,Iowa City IA (2),0.16,False,mixed
33,US-007,St Peters MO (2),US-008,Kansas City MO,0.192,False,mixed
34,US-007,St Peters MO (2),US-017,West Bend WI,0.192,False,mixed
35,US-006,St Peters MO (1),US-008,Kansas City MO,0.207,False,mixed
36,US-002,Bethlehem PA,US-017,West Bend WI,0.23,False,mixed
37,US-008,Kansas City MO,US-014,Dayton OH,0.234,False,mixed
38,US-006,St Peters MO (1),US-017,West Bend WI,0.238,False,mixed
39,US-009,Bowling Green KY (1),US-017,West Bend WI,0.238,False,mixed
40,US-008,Kansas City MO,US-009,Bowling Green KY (1),0.24,False,mixed
41,US-005,Jefferson City MO,US-017,West Bend WI,0.242,False,mixed
42,US-002,Bethlehem PA,US-008,Kansas City MO,0.256,False,mixed
43,US-014,Dayton OH,US-017,West Bend WI,0.26,False,mixed
44,US-007,St Peters MO (2),US-015,Salt Lake City UT,0.278,False,mixed
45,US-006,St Peters MO (1),US-015,Salt Lake City UT,0.281,False,mixed
46,US-005,Jefferson City MO,US-008,Kansas City MO,0.286,False,mixed
47,US-003,Iowa City IA (1),US-005,Jefferson City MO,0.288,False,mixed
48,US-013,Lima OH,US-017,West Bend WI,0.29,False,mixed
49,US-004,Iowa City IA (2),US-005,Jefferson City MO,0.292,False,mixed
50,US-008,Kansas City MO,US-013,Lima OH,0.296,False,mixed
51,US-004,Iowa City IA (2),US-007,St Peters MO (2),0.304,False,mixed
52,US-002,Bethlehem PA,US-015,Salt Lake City UT,0.308,False,mixed
53,US-004,Iowa City IA (2),US-012,Florence KY (2) - L'OREAL,0.311,False,mixed
54,US-004,Iowa City IA (2),US-011,Florence KY (1) - L'OREAL,0.312,False,mixed
55,US-007,St Peters MO (2),US-016,Houston TX,0.33,False,mixed
56,US-003,Iowa City IA (1),US-017,West Bend WI,0.334,False,mixed
57,US-003,Iowa City IA (1),US-007,St Peters MO (2),0.34,False,mixed
58,US-007,St Peters MO (2),US-011,Florence KY (1) - L'OREAL,0.34,False,mixed
59,US-014,Dayton OH,US-015,Salt Lake City UT,0.341,False,mixed
60,US-004,Iowa City IA (2),US-009,Bowling Green KY (1),0.344,False,mixed
61,US-009,Bowling Green KY (1),US-015,Salt Lake City UT,0.344,False,mixed
62,US-008,Kansas City MO,US-016,Houston TX,0.346,False,mixed
63,US-003,Iowa City IA (1),US-009,Bowling Green KY (1),0.35,False,mixed
64,US-003,Iowa City IA (1),US-012,Florence KY (2) - L'OREAL,0.35,False,mixed
65,US-006,St Peters MO (1),US-016,Houston TX,0.351,False,mixed
66,US-002,Bethlehem PA,US-003,Iowa City IA (1),0.353,False,mixed
67,US-008,Kansas City MO,US-011,Florence KY (1) - L'OREAL,0.356,False,mixed
68,US-004,Iowa City IA (2),US-010,Bowling Green KY (2) - HENKEL,0.358,False,mixed
69,US-007,St Peters MO (2),US-012,Florence KY (2) - L'OREAL,0.361,False,mixed
