# ALPLA PCI Parameter Estimates (LLMMC)
# Generated: 2026-01-19
# Simulations: 1000
# Priors: /home/user/complementarity-context-framework/data/alpla-pci-priors.yaml
#
plant_id,plant_name,plant_type,S2_employees,S2_p10,S2_p90,S2_confidence,S3,S4,S5,S6,O1,O2,O3,O4,O5,BC_pct,WC_pct,BC_count,WC_count,P1_BC,P1_WC,P1_total,P2,P3,P4
US-001,McDonough GA,regional_hq,379,280,500,medium,16,2.1,56,4,43,1.7,1,1,25,70,30,265,114,24.2,10.9,20.2,5.4,2.8,97
US-002,Bethlehem PA,standalone,176,100,308,medium,9,2.2,60,3,29,0.7,1,0,8,80,20,141,35,29.7,11.3,26.0,3.5,3.1,132
US-003,Iowa City IA (1),near_customer,140,89,218,medium,23,2.2,59,2,66,12.0,0,0,32,85,15,119,21,29.1,12.0,26.5,3.3,2.0,91
US-004,Iowa City IA (2),near_customer,119,80,182,medium,16,1.8,30,2,73,6.4,0,1,26,85,15,101,18,22.0,8.9,20.0,2.4,2.5,83
US-005,Jefferson City MO,standalone,172,100,296,medium,16,2.0,74,3,50,2.6,1,0,17,80,20,138,34,21.9,17.5,21.0,3.2,2.8,97
US-006,St Peters MO (1),standalone,184,102,323,medium,16,1.2,33,3,42,1.0,1,1,21,80,20,147,37,10.0,6.7,9.3,4.0,2.7,93
US-007,St Peters MO (2),standalone,155,100,294,medium,16,1.8,59,3,50,0.3,1,0,21,80,20,124,31,16.7,8.7,15.1,5.7,3.4,118
US-008,Kansas City MO,standalone,144,100,255,low,4,1.8,50,2,40,1.6,0,0,21,80,20,115,29,13.2,12.6,13.1,4.9,2.0,88
US-009,Bowling Green KY (1),standalone,184,100,326,medium,13,2.4,35,3,42,1.6,1,0,24,80,20,147,37,19.7,13.4,18.4,4.6,3.4,96
US-010,Bowling Green KY (2) - HENKEL,in_house,83,49,140,high,6,1.4,64,3,90,3.8,0,0,16,88,12,73,10,31.2,10.4,28.7,3.3,3.7,97
US-011,Florence KY (1) - L'OREAL,in_house,92,56,150,high,16,1.4,41,3,87,3.3,0,0,18,88,12,81,11,18.5,7.5,17.2,3.8,2.4,97
US-012,Florence KY (2) - L'OREAL,in_house,89,53,149,high,16,2.0,42,3,85,15.0,0,0,24,88,12,78,11,23.2,8.2,21.4,2.9,2.5,67
US-013,Lima OH,standalone,164,100,291,medium,20,2.4,77,3,26,6.8,1,1,29,80,20,131,33,28.5,6.0,24.0,4.6,2.2,140
US-014,Dayton OH,standalone,183,104,320,medium,7,1.9,74,3,15,9.5,1,0,33,80,20,146,37,25.8,11.2,22.9,3.8,2.0,70
US-015,Salt Lake City UT,standalone,107,100,201,medium,8,2.3,60,2,40,1.3,0,0,30,80,20,86,21,10.0,11.8,10.4,3.1,3.4,112
US-016,Houston TX,near_customer,164,105,250,medium,25,2.0,40,3,71,2.7,1,0,12,85,15,139,25,13.4,10.3,12.9,4.1,2.5,88
US-017,West Bend WI,standalone,100,100,171,medium,9,1.7,40,2,39,0.7,0,0,29,80,20,80,20,18.6,11.1,17.1,4.6,2.8,107
