# ALPLA Plant Distance Matrix (Combined PCI + IFI)
# Generated by calculate_plant_deltas.py
# Lower values = more similar plants
#
plant_id,plant_name,cluster,US-001,US-002,US-003,US-004,US-005,US-006,US-007,US-008,US-009,US-010,US-011,US-012,US-013,US-014,US-015,US-016,US-017
US-001,McDonough GA,D_autonomy_seeking,0.000,0.387,0.481,0.498,0.456,0.414,0.410,0.422,0.444,0.628,0.532,0.532,0.450,0.422,0.450,0.428,0.430
US-002,Bethlehem PA,A_rotation_ready,0.387,0.000,0.353,0.380,0.199,0.238,0.196,0.256,0.182,0.463,0.437,0.420,0.171,0.129,0.308,0.418,0.230
US-003,Iowa City IA (1),C_tech_focused,0.481,0.353,0.000,0.160,0.288,0.419,0.340,0.414,0.350,0.376,0.372,0.350,0.384,0.412,0.453,0.329,0.334
US-004,Iowa City IA (2),B_career_hungry,0.498,0.380,0.160,0.000,0.292,0.375,0.304,0.316,0.344,0.358,0.312,0.311,0.417,0.426,0.358,0.364,0.244
US-005,Jefferson City MO,A_rotation_ready,0.456,0.199,0.288,0.292,0.000,0.202,0.144,0.286,0.108,0.408,0.400,0.397,0.184,0.211,0.376,0.436,0.242
US-006,St Peters MO (1),A_rotation_ready,0.414,0.238,0.419,0.375,0.202,0.000,0.092,0.207,0.186,0.538,0.406,0.439,0.264,0.234,0.281,0.351,0.238
US-007,St Peters MO (2),A_rotation_ready,0.410,0.196,0.340,0.304,0.144,0.092,0.000,0.192,0.154,0.458,0.340,0.361,0.224,0.204,0.278,0.330,0.192
US-008,Kansas City MO,B_career_hungry,0.422,0.256,0.414,0.316,0.286,0.207,0.192,0.000,0.240,0.474,0.356,0.380,0.296,0.234,0.152,0.346,0.128
US-009,Bowling Green KY (1),A_rotation_ready,0.444,0.182,0.350,0.344,0.108,0.186,0.154,0.240,0.000,0.429,0.409,0.413,0.134,0.150,0.344,0.415,0.238
US-010,Bowling Green KY (2) - HENKEL,E_constrained,0.628,0.463,0.376,0.358,0.408,0.538,0.458,0.474,0.429,0.000,0.216,0.187,0.466,0.478,0.552,0.539,0.454
US-011,Florence KY (1) - L'OREAL,E_constrained,0.532,0.437,0.372,0.312,0.400,0.406,0.340,0.356,0.409,0.216,0.000,0.060,0.450,0.448,0.412,0.365,0.365
US-012,Florence KY (2) - L'OREAL,E_constrained,0.532,0.420,0.350,0.311,0.397,0.439,0.361,0.380,0.413,0.187,0.060,0.000,0.436,0.440,0.436,0.390,0.372
US-013,Lima OH,A_rotation_ready,0.450,0.171,0.384,0.417,0.184,0.264,0.224,0.296,0.134,0.466,0.450,0.436,0.000,0.118,0.386,0.430,0.290
US-014,Dayton OH,A_rotation_ready,0.422,0.129,0.412,0.426,0.211,0.234,0.204,0.234,0.150,0.478,0.448,0.440,0.118,0.000,0.341,0.416,0.260
US-015,Salt Lake City UT,B_career_hungry,0.450,0.308,0.453,0.358,0.376,0.281,0.278,0.152,0.344,0.552,0.412,0.436,0.386,0.341,0.000,0.380,0.160
US-016,Houston TX,C_tech_focused,0.428,0.418,0.329,0.364,0.436,0.351,0.330,0.346,0.415,0.539,0.365,0.390,0.430,0.416,0.380,0.000,0.401
US-017,West Bend WI,B_career_hungry,0.430,0.230,0.334,0.244,0.242,0.238,0.192,0.128,0.238,0.454,0.365,0.372,0.290,0.260,0.160,0.401,0.000
