# ALPLA USA Labor Market Data (L1-L5)
# Source: BLS LAUS, BLS OES, Census CBP, C2ER COLI
# Date Compiled: 2026-01-19
# Reference: docs/methods/ALPLA_Plant_Comparability_Index_PCI.md
#
# Column Definitions:
# - plant_id: Unique plant identifier
# - plant_name: Plant location name
# - address: Full address
# - county: County name
# - state: State abbreviation
# - msa: Metropolitan Statistical Area
# - L1_unemployment_pct: County unemployment rate (%, BLS LAUS Q3 2025)
# - L2_mfg_establishments: Manufacturing establishments in 30-mile radius (Census CBP 2023 est.)
# - L3_urbanization: 1=Rural, 2=Suburban, 3=Urban
# - L4_mfg_wage_hr: Median hourly wage for production occupations ($/hr, BLS OES May 2024)
# - L5_coli: Cost of Living Index (100=US avg, C2ER Q3 2025)
# - data_quality: H=High (direct source), M=Medium (interpolated), L=Low (estimated)

plant_id,plant_name,address,county,state,msa,L1_unemployment_pct,L2_mfg_establishments,L3_urbanization,L4_mfg_wage_hr,L5_coli,data_quality
US-001,McDonough GA,289 Highway 155 S McDonough GA 30253,Henry,GA,Atlanta-Sandy Springs-Roswell,3.3,1850,2,20.25,96.1,H
US-002,Bethlehem PA,2120 Spillman Dr Bethlehem PA 18015,Northampton,PA,Allentown-Bethlehem-Easton,3.8,520,3,19.10,98.5,M
US-003,Iowa City IA (1),2258 Heinz Rd Iowa City IA 52240,Johnson,IA,Iowa City,2.5,185,2,18.45,92.3,M
US-004,Iowa City IA (2),2309 Heinz Rd Iowa City IA 52240,Johnson,IA,Iowa City,2.5,185,2,18.45,92.3,M
US-005,Jefferson City MO,2662 Militia Dr Jefferson City MO 65101,Cole,MO,Jefferson City,3.0,145,2,17.55,84.0,H
US-006,St Peters MO (1),1 Gerber Industrial Dr St Peters MO 63376,St. Charles,MO,St. Louis,3.2,1120,2,18.65,88.5,M
US-007,St Peters MO (2),9 Cermak Blvd St Peters MO 63376,St. Charles,MO,St. Louis,3.2,1120,2,18.65,88.5,M
US-008,Kansas City MO,Blue River Commerce Ctr Kansas City MO,Jackson,MO,Kansas City,4.0,980,3,19.10,92.0,M
US-009,Bowling Green KY (1),215 Technology Way Bowling Green KY 42101,Warren,KY,Bowling Green,3.8,165,2,17.25,86.2,M
US-010,Bowling Green KY (2) HENKEL,377 Southwood Ct Bowling Green KY 42101,Warren,KY,Bowling Green,3.8,165,2,17.25,86.2,M
US-011,Florence KY (1) LOREAL,7080 New Buffington Rd Florence KY 41042,Boone,KY,Cincinnati,3.9,890,2,19.45,88.3,H
US-012,Florence KY (2) LOREAL,7979 Vulcan Dr Florence KY 41042,Boone,KY,Cincinnati,3.9,890,2,19.45,88.3,H
US-013,Lima OH,3320 Fort Shawnee Industrial Dr Lima OH 45806,Allen,OH,Lima,4.5,210,2,18.05,83.8,M
US-014,Dayton OH,West National Rd Park 70/75 Dayton OH,Montgomery,OH,Dayton-Kettering,4.5,680,3,18.55,86.0,M
US-015,Salt Lake City UT,4324 Commercial Way Suite A Salt Lake City UT 84104,Salt Lake,UT,Salt Lake City,3.6,720,3,20.15,108.3,H
US-016,Houston TX,5800 Armour Dr Houston TX,Harris,TX,Houston-The Woodlands-Sugar Land,4.5,2450,3,19.65,94.0,H
US-017,West Bend WI,825 Rail Way West Bend WI 53095,Washington,WI,Milwaukee-Waukesha,3.0,385,2,19.20,94.2,H
