Year,erp_transformation,iot_deployment,data_platform,cybersecurity,recycling_expansion,geographic_expansion,maintenance,Total,Phase
2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pre-Phase
2025,7.0,2.5,3.8,3.0,3.0,3.0,50.2,72.5,Foundation & Acceleration
2026,7.0,2.5,3.8,3.0,3.0,3.0,50.2,72.5,Foundation & Acceleration
2027,4.7,3.3,1.5,2.7,12.0,10.0,39.1,73.3,Expansion & Scaling
2028,4.7,3.3,1.5,2.7,12.0,10.0,39.1,73.3,Expansion & Scaling
2029,4.7,3.3,1.5,2.7,12.0,10.0,39.1,73.3,Expansion & Scaling
2030,1.2,1.7,0.5,1.0,3.0,4.0,19.5,30.9,Optimization & Maturation
2031,1.2,1.7,0.5,1.0,3.0,4.0,19.5,30.9,Optimization & Maturation
2032,1.2,1.7,0.5,1.0,3.0,4.0,19.5,30.9,Optimization & Maturation
2033,1.2,1.7,0.5,1.0,3.0,4.0,19.5,30.9,Optimization & Maturation
2034,1.2,1.7,0.5,1.0,3.0,4.0,19.5,30.9,Optimization & Maturation
2035,1.2,1.7,0.5,1.0,3.0,4.0,19.5,30.9,Optimization & Maturation
