simulation_id,revenue_2035_eur_m
1,8454.5
2,8725.6
3,9228.2
4,9247.5
5,9249.2
6,9259.1
7,9284.3
8,9310.4
9,9352.7
10,9363.3
11,9367.5
12,9410.3
13,9416.7
14,9430.4
15,9459.4
16,9475.9
17,9486.3
18,9499.4
19,9511.4
20,9522.1
21,9525.5
22,9552.6
23,9553.8
24,9555.0
25,9561.2
26,9567.7
27,9581.3
28,9595.8
29,9611.6
30,9614.5
31,9624.6
32,9634.2
33,9637.6
34,9640.9
35,9644.0
36,9655.3
37,9655.6
38,9656.7
39,9661.3
40,9714.9
41,9733.3
42,9737.3
43,9750.3
44,9752.8
45,9757.3
46,9762.7
47,9767.1
48,9768.5
49,9780.4
50,9785.3
51,9797.1
52,9810.8
53,9814.1
54,9823.3
55,9824.9
56,9836.4
57,9844.1
58,9846.4
59,9866.4
60,9874.1
61,9874.9
62,9878.3
63,9885.6
64,9885.7
65,9894.7
66,9898.7
67,9900.0
68,9914.0
69,9916.1
70,9921.6
71,9923.6
72,9924.8
73,9925.1
74,9928.4
75,9930.5
76,9934.5
77,9934.6
78,9945.2
79,9947.3
80,9952.8
81,9954.9
82,9960.6
83,9960.8
84,9962.8
85,9978.1
86,9986.4
87,9986.7
88,9987.0
89,9998.4
90,10007.0
91,10007.5
92,10008.2
93,10009.2
94,10013.4
95,10017.5
96,10019.5
97,10024.4
98,10025.7
99,10027.5
100,10027.6
101,10027.7
102,10030.1
103,10033.7
104,10036.1
105,10036.4
106,10040.3
107,10050.5
108,10051.7
109,10060.5
110,10061.6
111,10062.2
112,10063.1
113,10072.4
114,10075.0
115,10076.7
116,10077.8
117,10079.2
118,10079.2
119,10084.8
120,10087.7
121,10088.3
122,10092.9
123,10096.3
124,10099.7
125,10102.6
126,10103.6
127,10106.1
128,10106.2
129,10106.3
130,10108.3
131,10110.1
132,10111.2
133,10123.0
134,10125.4
135,10126.4
136,10131.9
137,10133.2
138,10135.0
139,10136.1
140,10146.1
141,10148.0
142,10153.2
143,10157.2
144,10158.5
145,10167.8
146,10170.1
147,10171.7
148,10178.0
149,10179.2
150,10179.3
151,10179.9
152,10182.1
153,10191.1
154,10194.6
155,10195.0
156,10200.2
157,10205.8
158,10205.8
159,10207.6
160,10210.3
161,10214.9
162,10215.4
163,10220.1
164,10220.3
165,10220.5
166,10224.5
167,10225.2
168,10228.1
169,10229.0
170,10230.3
171,10232.2
172,10233.7
173,10235.8
174,10237.5
175,10237.8
176,10239.8
177,10249.3
178,10249.6
179,10253.2
180,10254.3
181,10254.9
182,10259.1
183,10261.7
184,10264.2
185,10266.3
186,10268.0
187,10274.9
188,10275.9
189,10276.9
190,10277.2
191,10282.8
192,10282.9
193,10284.3
194,10288.4
195,10288.7
196,10294.1
197,10295.6
198,10296.2
199,10297.7
200,10302.7
201,10303.5
202,10304.2
203,10305.4
204,10306.3
205,10307.5
206,10307.6
207,10311.4
208,10312.6
209,10314.2
210,10315.0
211,10315.7
212,10317.5
213,10322.7
214,10324.6
215,10325.2
216,10325.7
217,10328.5
218,10328.8
219,10331.0
220,10331.7
221,10333.0
222,10334.5
223,10338.0
224,10338.7
225,10340.4
226,10340.9
227,10342.0
228,10345.7
229,10349.4
230,10356.9
231,10358.5
232,10360.4
233,10360.7
234,10362.0
235,10363.8
236,10368.4
237,10368.6
238,10369.0
239,10369.3
240,10374.9
241,10376.8
242,10380.1
243,10382.0
244,10382.1
245,10383.1
246,10385.3
247,10385.3
248,10386.7
249,10387.4
250,10388.3
251,10388.9
252,10391.3
253,10392.7
254,10392.8
255,10392.9
256,10393.0
257,10393.6
258,10396.8
259,10397.9
260,10398.8
261,10398.9
262,10400.4
263,10400.6
264,10401.0
265,10401.2
266,10401.9
267,10403.0
268,10404.0
269,10404.6
270,10404.7
271,10406.9
272,10408.5
273,10413.1
274,10413.6
275,10418.2
276,10420.9
277,10429.2
278,10431.8
279,10437.0
280,10437.5
281,10438.5
282,10439.9
283,10439.9
284,10440.1
285,10442.1
286,10442.3
287,10443.0
288,10446.4
289,10447.1
290,10447.2
291,10449.0
292,10449.3
293,10452.0
294,10453.3
295,10453.6
296,10453.8
297,10454.4
298,10456.1
299,10456.4
300,10458.1
301,10458.4
302,10462.7
303,10463.1
304,10464.8
305,10465.2
306,10465.6
307,10465.9
308,10466.3
309,10472.8
310,10474.3
311,10475.6
312,10476.8
313,10478.8
314,10480.4
315,10480.7
316,10481.1
317,10482.8
318,10482.8
319,10483.7
320,10484.5
321,10485.2
322,10488.2
323,10488.2
324,10489.3
325,10492.8
326,10498.1
327,10498.5
328,10499.5
329,10500.6
330,10501.0
331,10501.3
332,10502.3
333,10503.9
334,10507.1
335,10509.8
336,10513.6
