key,strategy,journal_found,journal_superkey,era,pattern,lookup_source,predictability_rate,reason,journal,year,volume,issue,pages
kahneman1990endowment,LOOKUP,True,JRN-1086-JPE,Chicago,,Chicago/CrossRef,0.0,NUMERIC pattern in Chicago era - not predictable,Journal of Political Economy,1990,98,6,1325--1348
benartzi1995myopic,LOOKUP,True,JRN-1093-QJE,JSTOR Legacy,,JSTOR,0.01,NUMERIC pattern in JSTOR Legacy era - not predictable,Quarterly Journal of Economics,1995,110,1,73--92
stiglitz2010freefall,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,2010,,,
topkis1978minimizing,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: Operations Research,Operations Research,1978,26,2,305--321
topkis1998supermodularity,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,1998,,,
milgrom1990rationalizability,LOOKUP,True,JRN-3982-ECTA,JSTOR Legacy,,JSTOR,0.05,NUMERIC pattern in JSTOR Legacy era - not predictable,Econometrica,1990,58,6,1255--1277
vives1990nash,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: Journal of Mathematical Economics,Journal of Mathematical Economics,1990,19,3,305--321
milgrom1994monotone,LOOKUP,True,JRN-3982-ECTA,JSTOR Legacy,,JSTOR,0.05,NUMERIC pattern in JSTOR Legacy era - not predictable,Econometrica,1994,62,1,157--180
milgrom1995complementarities,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: Journal of Accounting and Economics,Journal of Accounting and Economics,1995,19,2-3,179--208
milgrom1992economics,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,1992,,,
milgrom1988employment,LOOKUP,True,JRN-1086-JPE,Chicago,,Chicago/CrossRef,0.0,NUMERIC pattern in Chicago era - not predictable,Journal of Political Economy,1988,96,1,42--60
milgrom1988influence,LOOKUP,False,,,,CrossRef,0.0,Journal not in database: American Journal of Sociology,American Journal of Sociology,1988,94,Supplement,S154--S179
brynjolfsson2013complementarity,SKIP,False,,,,,0.0,Entry type 'incollection' - not a journal article,,2013,,,11--55
milgrom1982auctions,LOOKUP,True,JRN-3982-ECTA,JSTOR Legacy,,JSTOR,0.05,NUMERIC pattern in JSTOR Legacy era - not predictable,Econometrica,1982,50,5,1089--1122
milgrom2004putting,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,2004,,,
milgrom2017discovering,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,2017,,,
milgrom1986relying,LOOKUP,True,JRN-2307-RAND,JSTOR,,JSTOR,0.0,NUMERIC pattern in JSTOR era - not predictable,RAND Journal of Economics,1986,17,1,18--32
milgrom1986price,LOOKUP,True,JRN-1086-JPE,Chicago,,Chicago/CrossRef,0.0,NUMERIC pattern in Chicago era - not predictable,Journal of Political Economy,1986,94,4,796--821
milgrom1982limit,LOOKUP,True,JRN-3982-ECTA,JSTOR Legacy,,JSTOR,0.05,NUMERIC pattern in JSTOR Legacy era - not predictable,Econometrica,1982,50,2,443--459
milgrom1982predation,PATTERN,True,JRN-1016-JET,Elsevier,10.1016/j.jet.{year}.{month}.{article},,0.8,Predictable pattern for Elsevier era,Journal of Economic Theory,1982,27,2,280--312
fama1991efficient,LOOKUP,True,JRN-1111-JF,JSTOR Legacy,,JSTOR,0.75,NUMERIC pattern in JSTOR Legacy era - not predictable,Journal of Finance,1991,46,5,1575--1617
kyle1985continuous,LOOKUP,True,JRN-3982-ECTA,JSTOR Legacy,,JSTOR,0.05,NUMERIC pattern in JSTOR Legacy era - not predictable,Econometrica,1985,53,6,1315--1335
glosten1985bid,PATTERN,True,JRN-1016-JFE,Elsevier,10.1016/j.jfineco.{year}.{month}.{article},,0.8,Predictable pattern for Elsevier era,Journal of Financial Economics,1985,14,1,71--100
merton1973icapm,LOOKUP,True,JRN-3982-ECTA,JSTOR Legacy,,JSTOR,0.05,NUMERIC pattern in JSTOR Legacy era - not predictable,Econometrica,1973,41,5,867--887
fama1993common,PATTERN,True,JRN-1016-JFE,Elsevier,10.1016/j.jfineco.{year}.{month}.{article},,0.8,Predictable pattern for Elsevier era,Journal of Financial Economics,1993,33,1,3--56
campbell1988dividend,LOOKUP,True,JRN-1093-RFS,Oxford Modern,,CrossRef,0.0,ALPHA_NUM pattern in Oxford Modern era - not predictable,Review of Financial Studies,1988,1,3,195--228
shiller2000irrational,SKIP,False,,,,,0.0,Entry type 'book' - not a journal article,,2000,,,
