test,relationship,psi_dimension,threshold_mean,threshold_std,ci_lower,ci_upper,threshold_type,interpretation
1,Education → Earnings,Ψ_K,0.275,0.029,0.22,0.32,minimum,Signaling functions above this level
1,Education → Earnings,Ψ_M,0.336,0.030,0.28,0.38,minimum,Specialization rewarded above this level
2,Management → Productivity,Ψ_F,0.375,0.029,0.32,0.42,minimum,Management implementable above this level
2,Management → Productivity,Ψ_F,0.811,0.027,0.76,0.85,maximum,Saturation - no benefit above this level
3,Democracy → Growth,Ψ_I,0.332,0.030,0.28,0.38,minimum,Democracy stabilizes above this level
3,Democracy → Growth,Ψ_E,0.394,0.033,0.33,0.44,regime_change,Lipset threshold - democracy consolidates
4,Patience → Growth,Ψ_T,0.433,0.030,0.38,0.48,regime_change,Rationality threshold - patience profitable above
4,Patience → Growth,Ψ_K,0.578,0.027,0.53,0.62,maximum,Patience advantage disappears above
5,Information → Behavior,Ψ_K,0.433,0.030,0.38,0.48,maximum,Jensen-Dupas threshold - info works below
5,Information → Behavior,Ψ_F,0.313,0.030,0.26,0.36,minimum,Action possible above this level
6,Income → Life Expectancy,Ψ_T,0.278,0.027,0.23,0.32,minimum,Peace enables health conversion
6,Income → Life Expectancy,Ψ_I,0.353,0.031,0.30,0.40,minimum,Health systems function above this level
