rank,paper_id,bibtex_key,title,first_author,year,doi,journal,content_level,integration_level,prior_score,has_full_text,linked_cases,has_theory_support,use_for_count,priority_score,upload_action,researcher,fetch_urls
1,PAP-zellweger2023entrepreneurs,zellweger2023entrepreneurs,Entrepreneurs as Scientists: A Pragmatist Approach to Producing Value Out of Uncertainty,"Zellweger, Thomas and Zenger, Todd",2023,10.5465/amr.2020.0503,Academy of Management Review,L2,I5,0.875,True,0,True,6,638.8,UPGRADE_TO_L3,"{'name': 'Thomas Zellweger', 'department': {'url': 'https://www.unisg.ch/en/personenverzeichnis/thomas-zellweger', 'site_pattern': 'unisg.ch', 'institution': 'University of St. Gallen', 'search_hint': 'Entrepreneurs as Scientists: A Pragmatist Approach to Produc filetype:pdf site:unisg.ch'}, 'personal': None}","['https://api.unpaywall.org/v2/10.5465/amr.2020.0503?email=research@fehradvice.com', 'https://doi.org/10.5465/amr.2020.0503']"
2,PAP-binetti2024understanding,binetti2024understanding,People's Understanding of Inflation,"{'family': 'Binetti', 'given': 'Alberto'",2024,10.1016/j.jmoneco.2024.103652,Journal of Monetary Economics,L2,I4,0.8554,True,3,False,0,552.8,UPGRADE_TO_L3,,"['https://api.unpaywall.org/v2/10.1016/j.jmoneco.2024.103652?email=research@fehradvice.com', 'https://doi.org/10.1016/j.jmoneco.2024.103652']"
3,PAP-heckman2024causality,heckman2024causality,Econometric Causality: The Central Role of Thought Experiments,"Heckman, James J. and Pinto, Rodrigo",2024,10.1016/j.jeconom.2024.105719,Journal of Econometrics,L2,I4,0.8211,True,0,True,5,536.1,UPGRADE_TO_L3,"{'name': 'James Heckman', 'department': {'url': 'https://www.chicagobooth.edu/faculty/directory/h/james-j-heckman', 'site_pattern': 'uchicago.edu', 'institution': 'University of Chicago', 'search_hint': 'Econometric Causality: The Central Role of Thought Experimen filetype:pdf site:uchicago.edu'}, 'personal': {'url': 'https://heckmanequation.org/resource-library/', 'site_pattern': 'heckmanequation.org', 'search_hint': 'Econometric Causality: The Central Role of Thought Experimen filetype:pdf site:heckmanequation.org'}}","['https://api.unpaywall.org/v2/10.1016/j.jeconom.2024.105719?email=research@fehradvice.com', 'https://doi.org/10.1016/j.jeconom.2024.105719']"
4,PAP-madrian2001power,madrian2001power,[Title for madrian2001power],,2001,10.1162/003355301753265543,,L2,I3,0.7824,False,211,True,5,534.1,UPLOAD_FULLTEXT,"{'name': 'Brigitte Madrian', 'department': {'url': 'https://scholar.harvard.edu/madrian/publications', 'site_pattern': 'harvard.edu', 'institution': 'Harvard Kennedy School', 'search_hint': '[Title for madrian2001power] filetype:pdf site:harvard.edu'}, 'personal': None}","['https://api.unpaywall.org/v2/10.1162/003355301753265543?email=research@fehradvice.com', 'https://doi.org/10.1162/003355301753265543']"
5,PAP-rossinslater2026preschool,rossinslater2026preschool,The Impact of Preschool Entry Age on Children's Behavioral and Developmental Health in Medicaid,"Rossin-Slater, Sabety, Wu",2026,10.3386/w34677,NBER Working Paper Series,L2,I4,0.7166,True,0,True,8,530.8,UPGRADE_TO_L3,"{'name': 'Maya Rossin-Slater', 'department': {'url': 'https://profiles.stanford.edu/maya-rossin-slater', 'site_pattern': 'stanford.edu', 'institution': 'Stanford University', 'search_hint': ""The Impact of Preschool Entry Age on Children's Behavioral a filetype:pdf site:stanford.edu""}, 'personal': None}","['https://api.unpaywall.org/v2/10.3386/w34677?email=research@fehradvice.com', 'https://www.nber.org/system/files/working_papers/w34677/w34677.pdf', 'https://doi.org/10.3386/w34677']"
6,PAP-benabou2018narratives,benabou2018narratives,"Narratives, Imperatives, and Moral Reasoning","Bénabou, Roland; Falk, Armin; Tirole, Je",2018,10.3386/w24798,NBER Working Paper,L2,I4,0.6999,True,0,True,7,530.0,UPGRADE_TO_L3,"{'name': 'Roland Bénabou', 'department': {'url': 'https://www.princeton.edu/~rbenabou/papers.html', 'site_pattern': 'princeton.edu', 'institution': 'Princeton University', 'search_hint': 'Narratives, Imperatives, and Moral Reasoning filetype:pdf site:princeton.edu'}, 'personal': None}","['https://api.unpaywall.org/v2/10.3386/w24798?email=research@fehradvice.com', 'https://www.nber.org/system/files/working_papers/w24798/w24798.pdf', 'https://doi.org/10.3386/w24798']"
7,PAP-heckman2023virtue,heckman2023virtue,"The Economic Approach to Personality, Character and Virtue","Heckman, James J. and Galaty, Tomas and ",2023,10.3386/w31258,,L2,I4,0.6921,True,0,True,7,529.6,UPGRADE_TO_L3,"{'name': 'James Heckman', 'department': {'url': 'https://www.chicagobooth.edu/faculty/directory/h/james-j-heckman', 'site_pattern': 'uchicago.edu', 'institution': 'University of Chicago', 'search_hint': 'The Economic Approach to Personality, Character and Virtue filetype:pdf site:uchicago.edu'}, 'personal': {'url': 'https://heckmanequation.org/resource-library/', 'site_pattern': 'heckmanequation.org', 'search_hint': 'The Economic Approach to Personality, Character and Virtue filetype:pdf site:heckmanequation.org'}}","['https://api.unpaywall.org/v2/10.3386/w31258?email=research@fehradvice.com', 'https://www.nber.org/system/files/working_papers/w31258/w31258.pdf', 'https://doi.org/10.3386/w31258']"
8,PAP-kahneman2006luck,kahneman2006luck,The Role of Luck in Success,Kahneman,2006,null,,L2,I3,0.5206,False,221,True,1,521.0,UPLOAD_FULLTEXT,"{'name': 'Daniel Kahneman', 'department': {'url': 'https://scholar.princeton.edu/kahneman/publications', 'site_pattern': 'princeton.edu', 'institution': 'Princeton University', 'search_hint': 'The Role of Luck in Success filetype:pdf site:princeton.edu'}, 'personal': None}","['https://api.unpaywall.org/v2/null?email=research@fehradvice.com', 'https://doi.org/null']"
9,PAP-fehr2001minimum,fehr2001minimum,Do Workers Work More if Wages Are High? Evidence from a Rand...,Fehr,2001,null,,L2,I3,0.5059,False,30,True,3,520.3,UPLOAD_FULLTEXT,"{'name': 'Ernst Fehr', 'department': {'url': 'https://www.econ.uzh.ch/en/people/faculty/fehr/publications.html', 'site_pattern': 'econ.uzh.ch', 'institution': 'University of Zurich', 'search_hint': 'Do Workers Work More if Wages Are High? Evidence from a Rand filetype:pdf site:econ.uzh.ch'}, 'personal': None}","['https://api.unpaywall.org/v2/null?email=research@fehradvice.com', 'https://doi.org/null']"
10,PAP-fehr1995evolution,fehr1995evolution,Evolution of Fairness Preferences,Fehr,1995,null,,L2,I3,0.4588,False,68,True,2,517.9,UPLOAD_FULLTEXT,"{'name': 'Ernst Fehr', 'department': {'url': 'https://www.econ.uzh.ch/en/people/faculty/fehr/publications.html', 'site_pattern': 'econ.uzh.ch', 'institution': 'University of Zurich', 'search_hint': 'Evolution of Fairness Preferences filetype:pdf site:econ.uzh.ch'}, 'personal': None}","['https://api.unpaywall.org/v2/null?email=research@fehradvice.com', 'https://doi.org/null']"
